seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ta_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ta_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,70,0,0,0,1.411702036857605,0,1.411702036857605,0.5894736842105263,0.2958200621288978,0.442646873169712,0.5894736842105263,0.5894736842105263,0.2958200621288978,0.442646873169712,0.5894736842105263
42,distilbert-base-multilingual-cased,udpos,baseline,70,0,0,0,1.3575881719589233,0,1.3575881719589233,0.5757437070938215,0.2987298965829106,0.43723680183836605,0.5757437070938215,0.5757437070938215,0.2987298965829106,0.43723680183836605,0.5757437070938215
66,distilbert-base-multilingual-cased,udpos,baseline,70,0,0,0,1.4322891235351562,0,1.4322891235351562,0.5935926773455378,0.29782548857693364,0.4457090829612357,0.5935926773455378,0.5935926773455378,0.29782548857693364,0.4457090829612357,0.5935926773455378
23,distilbert-base-multilingual-cased,udpos,baseline,70,0,0,0,1.3983811140060425,0,1.3983811140060425,0.5995423340961098,0.29896582910620895,0.44925408160115937,0.5995423340961098,0.5995423340961098,0.29896582910620895,0.44925408160115937,0.5995423340961098
17,distilbert-base-multilingual-cased,udpos,baseline,70,0,0,0,1.402617335319519,0,1.402617335319519,0.6009153318077803,0.2849671660571743,0.4429412489324773,0.6009153318077803,0.6009153318077803,0.2849671660571743,0.4429412489324773,0.6009153318077803
