seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_he_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_he_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,955,0,0,0,0.06540196388959885,0,0.06540196388959885,0.9647385103011094,0.7696512130863906,0.8671948616937499,0.9647385103011094,0.9647385103011094,0.7696512130863906,0.8671948616937499,0.9647385103011094
42,distilbert-base-multilingual-cased,udpos,baseline,955,0,0,0,0.08090272545814514,0,0.08090272545814514,0.9653328050713154,0.7573433997876607,0.861338102429488,0.9653328050713154,0.9653328050713154,0.7573433997876607,0.861338102429488,0.9653328050713154
66,distilbert-base-multilingual-cased,udpos,baseline,955,0,0,0,0.09675280749797821,0,0.09675280749797821,0.9657950343370312,0.7639495104400141,0.8648722723885227,0.9657950343370312,0.9657950343370312,0.7639495104400141,0.8648722723885227,0.9657950343370312
23,distilbert-base-multilingual-cased,udpos,baseline,955,0,0,0,0.09392845630645752,0,0.09392845630645752,0.9655309033280507,0.7339467578939091,0.8497388306109799,0.9655309033280507,0.9655309033280507,0.7339467578939091,0.8497388306109799,0.9655309033280507
17,distilbert-base-multilingual-cased,udpos,baseline,955,0,0,0,0.09775160253047943,0,0.09775160253047943,0.9653328050713154,0.7337501474578271,0.8495414762645712,0.9653328050713154,0.9653328050713154,0.7337501474578271,0.8495414762645712,0.9653328050713154
