seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_cs_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_cs_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,10825,0,0,0,0.02823074534535408,0,0.02823074534535408,0.9900248662151787,0.7099602846919114,0.8499925754535451,0.9900248662151787,0.9900248662151787,0.7099602846919114,0.8499925754535451,0.9900248662151787
42,distilbert-base-multilingual-cased,udpos,baseline,10825,0,0,0,0.017894471064209938,0,0.017894471064209938,0.9902597774645627,0.7101568951279934,0.850208336296278,0.9902597774645627,0.9902597774645627,0.7101568951279934,0.850208336296278,0.9902597774645627
66,distilbert-base-multilingual-cased,udpos,baseline,10825,0,0,0,0.028699681162834167,0,0.028699681162834167,0.9902540479218949,0.712437576186544,0.8513458120542194,0.9902540479218949,0.9902540479218949,0.712437576186544,0.8513458120542194,0.9902540479218949
23,distilbert-base-multilingual-cased,udpos,baseline,10825,0,0,0,0.013211632147431374,0,0.013211632147431374,0.9903399910619134,0.7175494475246746,0.8539447192932941,0.9903399910619134,0.9903399910619134,0.7175494475246746,0.8539447192932941,0.9903399910619134
17,distilbert-base-multilingual-cased,udpos,baseline,10825,0,0,0,0.022176677361130714,0,0.022176677361130714,0.9903858274032566,0.7158979198615862,0.8531418736324214,0.9903858274032566,0.9903858274032566,0.7158979198615862,0.8531418736324214,0.9903858274032566
