seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ro_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ro_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,1280,0,0,0,0.06127319112420082,0,0.06127319112420082,0.9712115643758422,0.7482206755534584,0.8597161199646504,0.9712115643758422,0.9712115643758422,0.7482206755534584,0.8597161199646504,0.9712115643758422
42,distilbert-base-multilingual-cased,udpos,baseline,1280,0,0,0,0.042793162167072296,0,0.042793162167072296,0.9715178243292907,0.7648539184459912,0.8681858713876409,0.9715178243292907,0.9715178243292907,0.7648539184459912,0.8681858713876409,0.9715178243292907
66,distilbert-base-multilingual-cased,udpos,baseline,1280,0,0,0,0.04777626320719719,0,0.04777626320719719,0.971456572338601,0.7302504816955684,0.8508535270170847,0.971456572338601,0.971456572338601,0.7302504816955684,0.8508535270170847,0.971456572338601
23,distilbert-base-multilingual-cased,udpos,baseline,1280,0,0,0,0.07981269061565399,0,0.07981269061565399,0.9722528482175671,0.7394518501042036,0.8558523491608854,0.9722528482175671,0.9722528482175671,0.7394518501042036,0.8558523491608854,0.9722528482175671
17,distilbert-base-multilingual-cased,udpos,baseline,1280,0,0,0,0.04997178167104721,0,0.04997178167104721,0.9707215484503247,0.6807832959773504,0.8257524222138375,0.9707215484503247,0.9707215484503247,0.6807832959773504,0.8257524222138375,0.9707215484503247
