seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_pt_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_pt_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,1535,0,0,0,0.05284066125750542,0,0.05284066125750542,0.9823353026749398,0.8011088828595022,0.891722092767221,0.9823353026749398,0.9823353026749398,0.8011088828595022,0.891722092767221,0.9823353026749398
42,distilbert-base-multilingual-cased,udpos,baseline,1535,0,0,0,0.03102234937250614,0,0.03102234937250614,0.9826618769112015,0.8065746529825804,0.894618264946891,0.9826618769112015,0.9826618769112015,0.8065746529825804,0.894618264946891,0.9826618769112015
66,distilbert-base-multilingual-cased,udpos,baseline,1535,0,0,0,0.047610484063625336,0,0.047610484063625336,0.9826321883442686,0.8044512602728953,0.8935417243085819,0.9826321883442686,0.9826321883442686,0.8044512602728953,0.8935417243085819,0.9826321883442686
23,distilbert-base-multilingual-cased,udpos,baseline,1535,0,0,0,0.04330950975418091,0,0.04330950975418091,0.9823353026749398,0.8086194015178325,0.8954773520963861,0.9823353026749398,0.9823353026749398,0.8086194015178325,0.8954773520963861,0.9823353026749398
17,distilbert-base-multilingual-cased,udpos,baseline,1535,0,0,0,0.09104864299297333,0,0.09104864299297333,0.9826024997773357,0.8034288860052692,0.8930156928913024,0.9826024997773357,0.9826024997773357,0.8034288860052692,0.8930156928913024,0.9826024997773357
