seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_pl_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_pl_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,2795,0,0,0,0.02776373364031315,0,0.02776373364031315,0.9826379661617504,0.6845188942629075,0.8335784302123289,0.9826379661617504,0.9826379661617504,0.6845188942629075,0.8335784302123289,0.9826379661617504
42,distilbert-base-multilingual-cased,udpos,baseline,2795,0,0,0,0.043635375797748566,0,0.043635375797748566,0.9829627661145067,0.7178640242224057,0.8504133951684563,0.9829627661145067,0.9829627661145067,0.7178640242224057,0.8504133951684563,0.9829627661145067
66,distilbert-base-multilingual-cased,udpos,baseline,2795,0,0,0,0.028495419770479202,0,0.028495419770479202,0.9829627661145067,0.6543195312807204,0.8186411486976135,0.9829627661145067,0.9829627661145067,0.6543195312807204,0.8186411486976135,0.9829627661145067
23,distilbert-base-multilingual-cased,udpos,baseline,2795,0,0,0,0.03758317232131958,0,0.03758317232131958,0.9824312752827236,0.7015453580276041,0.8419883166551638,0.9824312752827236,0.9824312752827236,0.7015453580276041,0.8419883166551638,0.9824312752827236
17,distilbert-base-multilingual-cased,udpos,baseline,2795,0,0,0,0.031507715582847595,0,0.031507715582847595,0.9828446570407772,0.695175179898549,0.8390099184696631,0.9828446570407772,0.9828446570407772,0.695175179898549,0.8390099184696631,0.9828446570407772
