seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ca_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ca_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,2125,0,0,0,0.030743837356567383,0,0.030743837356567383,0.9866257626417566,0.7830600448271794,0.8848429037344681,0.9866257626417566,0.9866257626417566,0.7830600448271794,0.8848429037344681,0.9866257626417566
42,distilbert-base-multilingual-cased,udpos,baseline,2125,0,0,0,0.03060947172343731,0,0.03060947172343731,0.9866429974837131,0.7875034406826315,0.8870732190831723,0.9866429974837131,0.9866429974837131,0.7875034406826315,0.8870732190831723,0.9866429974837131
66,distilbert-base-multilingual-cased,udpos,baseline,2125,0,0,0,0.020420271903276443,0,0.020420271903276443,0.986574058115887,0.7642640871377453,0.8754190726268162,0.986574058115887,0.986574058115887,0.7642640871377453,0.8754190726268162,0.986574058115887
23,distilbert-base-multilingual-cased,udpos,baseline,2125,0,0,0,0.03676005080342293,0,0.03676005080342293,0.9867464065354521,0.7747630844245212,0.8807547454799867,0.9867464065354521,0.9867464065354521,0.7747630844245212,0.8807547454799867,0.9867464065354521
17,distilbert-base-multilingual-cased,udpos,baseline,2125,0,0,0,0.03141690045595169,0,0.03141690045595169,0.9867981110613215,0.7691400259525776,0.8779690685069496,0.9867981110613215,0.9867981110613215,0.7691400259525776,0.8779690685069496,0.9867981110613215
