seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.107358068,0,0.107358068,0.887306029,0.867024202,0.896911519,0.867378546,0.858935705,0.885742673,0.653547224,0.892311139,0.897635438,0.849034148,0.755290843,0.880300828,0.875606914,0.667657354,0.732655941,0.846301081,0.864634693,0.56567439,0.648454226,0.86255531,0.919642261,0.852224748,0.843477228,0.866699338,0.857117766,0.85452454,0.860907864,0.91611213,0.643151626,0.682062539,0.72916183,0.855243981,0.643412798,0.718221926,0.808732905,0.966576226,0.887306029,0.867024202,0.896911519,0.867378546,0.858935705,0.885742673,0.653547224,0.892311139,0.897635438,0.849034148,0.755290843,0.880300828,0.875606914,0.667657354,0.732655941,0.846301081,0.864634693,0.56567439,0.648454226,0.86255531,0.919642261,0.852224748,0.843477228,0.866699338,0.857117766,0.85452454,0.860907864,0.91611213,0.643151626,0.682062539,0.72916183,0.855243981,0.643412798,0.718221926,0.808732905,0.966576226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.088173106,0,0.088173106,0.896654795,0.874060323,0.901323635,0.869497881,0.859237205,0.886934923,0.672604614,0.892535204,0.899930161,0.855442644,0.759179664,0.880300828,0.87415032,0.666666667,0.711741462,0.847640923,0.866606903,0.560840878,0.650338272,0.864122419,0.91960889,0.859576604,0.838133127,0.872886547,0.869763766,0.867638037,0.866732969,0.918574797,0.635364178,0.678030642,0.730264685,0.862706232,0.639899624,0.706984101,0.810469821,0.966104361,0.896654795,0.874060323,0.901323635,0.869497881,0.859237205,0.886934923,0.672604614,0.892535204,0.899930161,0.855442644,0.759179664,0.880300828,0.87415032,0.666666667,0.711741462,0.847640923,0.866606903,0.560840878,0.650338272,0.864122419,0.91960889,0.859576604,0.838133127,0.872886547,0.869763766,0.867638037,0.866732969,0.918574797,0.635364178,0.678030642,0.730264685,0.862706232,0.639899624,0.706984101,0.810469821,0.966104361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.09139856,0,0.09139856,0.891185449,0.868009718,0.897448128,0.865096185,0.857767393,0.887232986,0.642821613,0.894793085,0.898234062,0.847752449,0.745630194,0.881122417,0.876675083,0.670629417,0.724894157,0.84821514,0.864365755,0.539818935,0.643230282,0.861080383,0.916038177,0.8508961,0.840062942,0.862288655,0.86273821,0.85904908,0.863110038,0.917684045,0.633531837,0.674581131,0.723821686,0.851979246,0.643831033,0.713144094,0.806434091,0.967205379,0.891185449,0.868009718,0.897448128,0.865096185,0.857767393,0.887232986,0.642821613,0.894793085,0.898234062,0.847752449,0.745630194,0.881122417,0.876675083,0.670629417,0.724894157,0.84821514,0.864365755,0.539818935,0.643230282,0.861080383,0.916038177,0.8508961,0.840062942,0.862288655,0.86273821,0.85904908,0.863110038,0.917684045,0.633531837,0.674581131,0.723821686,0.851979246,0.643831033,0.713144094,0.806434091,0.967205379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.106949322,0,0.106949322,0.895382854,0.874805189,0.901860243,0.869416368,0.86021708,0.88733234,0.670210782,0.89162171,0.899131996,0.852055296,0.755168038,0.882765594,0.879102738,0.673535434,0.723116003,0.850033496,0.86535186,0.57043118,0.651451571,0.863753687,0.920142829,0.859753757,0.840775488,0.87258025,0.874857293,0.863880368,0.863749378,0.918627194,0.636738433,0.677627453,0.729568145,0.866029266,0.648264325,0.716640306,0.811940528,0.967244701,0.895382854,0.874805189,0.901860243,0.869416368,0.86021708,0.88733234,0.670210782,0.89162171,0.899131996,0.852055296,0.755168038,0.882765594,0.879102738,0.673535434,0.723116003,0.850033496,0.86535186,0.57043118,0.651451571,0.863753687,0.920142829,0.859753757,0.840775488,0.87258025,0.874857293,0.863880368,0.863749378,0.918627194,0.636738433,0.677627453,0.729568145,0.866029266,0.648264325,0.716640306,0.811940528,0.967244701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.086507753,0,0.086507753,0.892203002,0.869837505,0.901681374,0.870231497,0.85810658,0.886835569,0.65926755,0.895706579,0.897735209,0.853153895,0.749109665,0.880048031,0.874441639,0.671818242,0.715636466,0.847066705,0.866517257,0.55424275,0.642630813,0.861910029,0.920543282,0.85314004,0.839766047,0.872641509,0.862562571,0.859739264,0.86168928,0.916374116,0.644983967,0.677179464,0.72927792,0.859849589,0.641154329,0.718471656,0.808986864,0.967519956,0.892203002,0.869837505,0.901681374,0.870231497,0.85810658,0.886835569,0.65926755,0.895706579,0.897735209,0.853153895,0.749109665,0.880048031,0.874441639,0.671818242,0.715636466,0.847066705,0.866517257,0.55424275,0.642630813,0.861910029,0.920543282,0.85314004,0.839766047,0.872641509,0.862562571,0.859739264,0.86168928,0.916374116,0.644983967,0.677179464,0.72927792,0.859849589,0.641154329,0.718471656,0.808986864,0.967519956
