seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.120443389,0,0.120443389,0.888387179,0.867402365,0.895957548,0.870231497,0.859953268,0.889816195,0.662936019,0.894069184,0.898134291,0.852604596,0.758115355,0.879605637,0.876092445,0.67835678,0.726023144,0.844004211,0.867234424,0.563526162,0.648026034,0.862186578,0.919675632,0.854291535,0.842586545,0.869517275,0.861069641,0.858895706,0.863323151,0.916898088,0.634448007,0.678881821,0.72962619,0.856701452,0.644667503,0.706734371,0.809411171,0.966930125,0.888387179,0.867402365,0.895957548,0.870231497,0.859953268,0.889816195,0.662936019,0.894069184,0.898134291,0.852604596,0.758115355,0.879605637,0.876092445,0.67835678,0.726023144,0.844004211,0.867234424,0.563526162,0.648026034,0.862186578,0.919675632,0.854291535,0.842586545,0.869517275,0.861069641,0.858895706,0.863323151,0.916898088,0.634448007,0.678881821,0.72962619,0.856701452,0.644667503,0.706734371,0.809411171,0.966930125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.08448185,0,0.08448185,0.897608751,0.875137514,0.903887431,0.870149984,0.857842768,0.880576254,0.668003482,0.889811958,0.898832685,0.855625744,0.759752753,0.881944006,0.875995339,0.663232283,0.713434942,0.848980764,0.867772299,0.550560074,0.647084011,0.863477139,0.919675632,0.860108063,0.837836233,0.873009066,0.869500307,0.868481595,0.863181076,0.918574797,0.625744388,0.674267539,0.730845136,0.86381391,0.638059389,0.707483559,0.80942032,0.967873855,0.897608751,0.875137514,0.903887431,0.870149984,0.857842768,0.880576254,0.668003482,0.889811958,0.898832685,0.855625744,0.759752753,0.881944006,0.875995339,0.663232283,0.713434942,0.848980764,0.867772299,0.550560074,0.647084011,0.863477139,0.919675632,0.860108063,0.837836233,0.873009066,0.869500307,0.868481595,0.863181076,0.918574797,0.625744388,0.674267539,0.730845136,0.86381391,0.638059389,0.707483559,0.80942032,0.967873855
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.096504942,0,0.096504942,0.88965912,0.871436102,0.898342476,0.865340724,0.857164393,0.890114257,0.639837095,0.897792103,0.898234062,0.853428545,0.745916738,0.882133603,0.877840357,0.6677234,0.720208863,0.845344052,0.866069027,0.531302747,0.637920699,0.861725664,0.916038177,0.85458679,0.839825426,0.863697623,0.864143321,0.863420245,0.857213895,0.918050825,0.642235456,0.668443688,0.724169956,0.851862648,0.643747386,0.708149505,0.806268205,0.967048091,0.88965912,0.871436102,0.898342476,0.865340724,0.857164393,0.890114257,0.639837095,0.897792103,0.898234062,0.853428545,0.745916738,0.882133603,0.877840357,0.6677234,0.720208863,0.845344052,0.866069027,0.531302747,0.637920699,0.861725664,0.916038177,0.85458679,0.839825426,0.863697623,0.864143321,0.863420245,0.857213895,0.918050825,0.642235456,0.668443688,0.724169956,0.851862648,0.643747386,0.708149505,0.806268205,0.967048091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.124785461,0,0.124785461,0.890422284,0.869808856,0.900906272,0.86664493,0.860782392,0.883656234,0.661599204,0.887209362,0.898333832,0.849674998,0.748536575,0.880490425,0.875024277,0.672082425,0.731216483,0.849267873,0.865531152,0.563679607,0.65316434,0.866150442,0.921544417,0.849921757,0.84175524,0.867066895,0.868622113,0.858588957,0.859416069,0.918784386,0.638112689,0.674536332,0.724228001,0.861365359,0.64642409,0.702655457,0.809035404,0.967244701,0.890422284,0.869808856,0.900906272,0.86664493,0.860782392,0.883656234,0.661599204,0.887209362,0.898333832,0.849674998,0.748536575,0.880490425,0.875024277,0.672082425,0.731216483,0.849267873,0.865531152,0.563679607,0.65316434,0.866150442,0.921544417,0.849921757,0.84175524,0.867066895,0.868622113,0.858588957,0.859416069,0.918784386,0.638112689,0.674536332,0.724228001,0.861365359,0.64642409,0.702655457,0.809035404,0.967244701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.076531708,0,0.076531708,0.892012211,0.870553722,0.901025519,0.8683567,0.856862893,0.886934923,0.657153516,0.895051621,0.898932455,0.849308798,0.742560072,0.882196802,0.874053214,0.680668384,0.722184589,0.849650684,0.863558942,0.572272518,0.639547829,0.863108407,0.91874124,0.849419823,0.838133127,0.867556971,0.867743919,0.860736196,0.861405129,0.916898088,0.649564819,0.678344234,0.726665893,0.860199382,0.64475115,0.70856572,0.809256456,0.967205379,0.892012211,0.870553722,0.901025519,0.8683567,0.856862893,0.886934923,0.657153516,0.895051621,0.898932455,0.849308798,0.742560072,0.882196802,0.874053214,0.680668384,0.722184589,0.849650684,0.863558942,0.572272518,0.639547829,0.863108407,0.91874124,0.849419823,0.838133127,0.867556971,0.867743919,0.860736196,0.861405129,0.916898088,0.649564819,0.678344234,0.726665893,0.860199382,0.64475115,0.70856572,0.809256456,0.967205379
