seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.103476331,0,0.103476331,0.890358687,0.868743124,0.897805867,0.869090316,0.86172458,0.889319424,0.669060499,0.889880901,0.89973062,0.853245445,0.761308281,0.882449599,0.876869295,0.677167955,0.7297488,0.84754522,0.866517257,0.568666564,0.654448917,0.86255531,0.919942602,0.856476424,0.841488035,0.870007351,0.861508738,0.85851227,0.863891454,0.917998428,0.628950985,0.684974465,0.727362433,0.859849589,0.647009619,0.720635978,0.811024854,0.967048091,0.890358687,0.868743124,0.897805867,0.869090316,0.86172458,0.889319424,0.669060499,0.889880901,0.89973062,0.853245445,0.761308281,0.882449599,0.876869295,0.677167955,0.7297488,0.84754522,0.866517257,0.568666564,0.654448917,0.86255531,0.919942602,0.856476424,0.841488035,0.870007351,0.861508738,0.85851227,0.863891454,0.917998428,0.628950985,0.684974465,0.727362433,0.859849589,0.647009619,0.720635978,0.811024854,0.967048091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.09014897,0,0.09014897,0.891821419,0.873069078,0.903171953,0.865422237,0.85810658,0.884053651,0.651899521,0.886433754,0.898134291,0.851505997,0.758483769,0.880743222,0.874344533,0.652004491,0.707761784,0.847928031,0.866517257,0.54503606,0.641945705,0.864952065,0.919775746,0.858041277,0.837658096,0.86890468,0.866163169,0.865030675,0.862399659,0.918836783,0.626202474,0.670370039,0.728755514,0.862997726,0.639481389,0.699242487,0.806682209,0.967244701,0.891821419,0.873069078,0.903171953,0.865422237,0.85810658,0.884053651,0.651899521,0.886433754,0.898134291,0.851505997,0.758483769,0.880743222,0.874344533,0.652004491,0.707761784,0.847928031,0.866517257,0.54503606,0.641945705,0.864952065,0.919775746,0.858041277,0.837658096,0.86890468,0.866163169,0.865030675,0.862399659,0.918836783,0.626202474,0.670370039,0.728755514,0.862997726,0.639481389,0.699242487,0.806682209,0.967244701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.088707522,0,0.088707522,0.89029509,0.867465392,0.898938707,0.86354744,0.857164393,0.888226528,0.643101411,0.894379427,0.898832685,0.850956697,0.743992795,0.88162801,0.875606914,0.660722541,0.720293537,0.84658819,0.863738234,0.526315789,0.634752077,0.860711652,0.915871321,0.850157962,0.839380084,0.862104876,0.867217002,0.858742331,0.858563614,0.918260414,0.625744388,0.671445211,0.724866496,0.855885268,0.646758678,0.704153833,0.804894382,0.967716566,0.89029509,0.867465392,0.898938707,0.86354744,0.857164393,0.888226528,0.643101411,0.894379427,0.898832685,0.850956697,0.743992795,0.88162801,0.875606914,0.660722541,0.720293537,0.84658819,0.863738234,0.526315789,0.634752077,0.860711652,0.915871321,0.850157962,0.839380084,0.862104876,0.867217002,0.858742331,0.858563614,0.918260414,0.625744388,0.671445211,0.724866496,0.855885268,0.646758678,0.704153833,0.804894382,0.967716566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.124944597,0,0.124944597,0.89137624,0.869573937,0.899117577,0.866970981,0.862855205,0.885543964,0.663464528,0.891414881,0.899131996,0.8456468,0.752875681,0.882449599,0.876966401,0.670827554,0.725825572,0.84917217,0.86580009,0.567592451,0.651194656,0.863108407,0.919475405,0.85624022,0.841606793,0.869884832,0.86598753,0.858205521,0.86168928,0.916793293,0.631241411,0.66992205,0.729452055,0.861773451,0.646842325,0.709564638,0.809399632,0.967087413,0.89137624,0.869573937,0.899117577,0.866970981,0.862855205,0.885543964,0.663464528,0.891414881,0.899131996,0.8456468,0.752875681,0.882449599,0.876966401,0.670827554,0.725825572,0.84917217,0.86580009,0.567592451,0.651194656,0.863108407,0.919475405,0.85624022,0.841606793,0.869884832,0.86598753,0.858205521,0.86168928,0.916793293,0.631241411,0.66992205,0.729452055,0.861773451,0.646842325,0.709564638,0.809399632,0.967087413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.08699505,0,0.08699505,0.893029763,0.869952099,0.901383258,0.868845778,0.856825205,0.887431694,0.667972393,0.894465606,0.898932455,0.852513046,0.747676941,0.881754408,0.874344533,0.675847038,0.722156365,0.850894822,0.865082922,0.556621145,0.640489852,0.861449115,0.917940332,0.850453217,0.83958791,0.870864984,0.862474752,0.860429448,0.862186545,0.91684569,0.644067797,0.680270585,0.730264685,0.857634233,0.643580092,0.720219762,0.809543779,0.967166057,0.893029763,0.869952099,0.901383258,0.868845778,0.856825205,0.887431694,0.667972393,0.894465606,0.898932455,0.852513046,0.747676941,0.881754408,0.874344533,0.675847038,0.722156365,0.850894822,0.865082922,0.556621145,0.640489852,0.861449115,0.917940332,0.850453217,0.83958791,0.870864984,0.862474752,0.860429448,0.862186545,0.91684569,0.644067797,0.680270585,0.730264685,0.857634233,0.643580092,0.720219762,0.809543779,0.967166057
