seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.058883794,0,0.058883794,0.871533961,0.841010921,0.88999523,0.852869253,0.771375815,0.864083458,0.637882316,0.878287546,0.879177891,0.788660265,0.707151337,0.848069266,0.864925228,0.648903856,0.692887384,0.816154656,0.855657163,0.515765247,0.591761583,0.772769174,0.903957819,0.829155225,0.834189354,0.833333333,0.840312527,0.840874233,0.82802955,0.900602567,0.551487414,0.521865628,0.707046668,0.849148986,0.561856964,0.666999667,0.772287691,0.959458928,0.871533961,0.841010921,0.88999523,0.852869253,0.771375815,0.864083458,0.637882316,0.878287546,0.879177891,0.788660265,0.707151337,0.848069266,0.864925228,0.648903856,0.692887384,0.816154656,0.855657163,0.515765247,0.591761583,0.772769174,0.903957819,0.829155225,0.834189354,0.833333333,0.840312527,0.840874233,0.82802955,0.900602567,0.551487414,0.521865628,0.707046668,0.849148986,0.561856964,0.666999667,0.772287691,0.959458928
42,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.063138671,0,0.063138671,0.874395828,0.843245442,0.886358216,0.853276818,0.767871274,0.863686041,0.633038348,0.875926373,0.878180186,0.78253315,0.712841295,0.840169374,0.86385706,0.64586635,0.679254869,0.803713274,0.854133046,0.529497507,0.588678599,0.767330383,0.899452713,0.833023297,0.834070599,0.832230798,0.837327715,0.837883436,0.832149453,0.899187844,0.552402746,0.529474956,0.707394938,0.849615295,0.56503555,0.664751915,0.771113373,0.959380284,0.874395828,0.843245442,0.886358216,0.853276818,0.767871274,0.863686041,0.633038348,0.875926373,0.878180186,0.78253315,0.712841295,0.840169374,0.86385706,0.64586635,0.679254869,0.803713274,0.854133046,0.529497507,0.588678599,0.767330383,0.899452713,0.833023297,0.834070599,0.832230798,0.837327715,0.837883436,0.832149453,0.899187844,0.552402746,0.529474956,0.707394938,0.849615295,0.56503555,0.664751915,0.771113373,0.959380284
66,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.033540476,0,0.033540476,0.873950649,0.844855444,0.888087288,0.85645582,0.769039454,0.858420268,0.636422916,0.879769743,0.881871695,0.790946502,0.714847108,0.846678885,0.866284715,0.633980454,0.654868755,0.807349986,0.855567509,0.519217491,0.609745654,0.774889381,0.901922178,0.833052824,0.835406585,0.837375965,0.836186463,0.841871166,0.837476914,0.901336128,0.556979405,0.547110693,0.70925238,0.847983213,0.575742367,0.672327672,0.773449226,0.958987063,0.873950649,0.844855444,0.888087288,0.85645582,0.769039454,0.858420268,0.636422916,0.879769743,0.881871695,0.790946502,0.714847108,0.846678885,0.866284715,0.633980454,0.654868755,0.807349986,0.855567509,0.519217491,0.609745654,0.774889381,0.901922178,0.833052824,0.835406585,0.837375965,0.836186463,0.841871166,0.837476914,0.901336128,0.556979405,0.547110693,0.70925238,0.847983213,0.575742367,0.672327672,0.773449226,0.958987063
23,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.032561678,0,0.032561678,0.872297125,0.842741242,0.884688767,0.84993479,0.771225082,0.863984103,0.62934327,0.876615766,0.879676743,0.776040238,0.715461132,0.840042975,0.860846766,0.62764131,0.696302568,0.810125371,0.851891698,0.536785577,0.577716879,0.771478614,0.901488353,0.828564679,0.831962711,0.834252113,0.83258713,0.837960123,0.836127291,0.899292638,0.5597254,0.527281679,0.710877641,0.844019585,0.5692179,0.654262404,0.770660578,0.959458928,0.872297125,0.842741242,0.884688767,0.84993479,0.771225082,0.863984103,0.62934327,0.876615766,0.879676743,0.776040238,0.715461132,0.840042975,0.860846766,0.62764131,0.696302568,0.810125371,0.851891698,0.536785577,0.577716879,0.771478614,0.901488353,0.828564679,0.831962711,0.834252113,0.83258713,0.837960123,0.836127291,0.899292638,0.5597254,0.527281679,0.710877641,0.844019585,0.5692179,0.654262404,0.770660578,0.959458928
17,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.044570968,0,0.044570968,0.868926482,0.839314976,0.883913666,0.852543202,0.768135057,0.863487332,0.644682503,0.878563304,0.87718248,0.777594879,0.729215277,0.841686153,0.864148378,0.649167987,0.698108947,0.812805053,0.851891698,0.529113924,0.60066798,0.775719027,0.900787559,0.832698497,0.834248731,0.834864633,0.835133,0.839417178,0.832646683,0.896515588,0.542334096,0.545499306,0.709890875,0.843145255,0.57565872,0.662254412,0.773293025,0.95930164,0.868926482,0.839314976,0.883913666,0.852543202,0.768135057,0.863487332,0.644682503,0.878563304,0.87718248,0.777594879,0.729215277,0.841686153,0.864148378,0.649167987,0.698108947,0.812805053,0.851891698,0.529113924,0.60066798,0.775719027,0.900787559,0.832698497,0.834248731,0.834864633,0.835133,0.839417178,0.832646683,0.896515588,0.542334096,0.545499306,0.709890875,0.843145255,0.57565872,0.662254412,0.773293025,0.95930164
31,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.060438897,0,0.060438897,0.874650216,0.844546048,0.883734796,0.856618846,0.771941063,0.862692499,0.636981835,0.87954569,0.880574678,0.788203018,0.726390765,0.843202932,0.865993397,0.644743793,0.654360711,0.815580438,0.855746817,0.528500192,0.600839257,0.780328171,0.904591871,0.839873623,0.835525339,0.836150925,0.840312527,0.848466258,0.835772127,0.899502227,0.567505721,0.528758784,0.704260506,0.848041502,0.573734839,0.668831169,0.774308899,0.960363336,0.874650216,0.844546048,0.883734796,0.856618846,0.771941063,0.862692499,0.636981835,0.87954569,0.880574678,0.788203018,0.726390765,0.843202932,0.865993397,0.644743793,0.654360711,0.815580438,0.855746817,0.528500192,0.600839257,0.780328171,0.904591871,0.839873623,0.835525339,0.836150925,0.840312527,0.848466258,0.835772127,0.899502227,0.567505721,0.528758784,0.704260506,0.848041502,0.573734839,0.668831169,0.774308899,0.960363336
42,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.056971885,0,0.056971885,0.872360722,0.842449036,0.88623897,0.857107923,0.77341071,0.862891207,0.631578947,0.879580159,0.880075826,0.783356196,0.714274019,0.843645326,0.865216547,0.641970417,0.638470223,0.81596325,0.853505469,0.542999616,0.580714225,0.779221976,0.90342388,0.833466206,0.834515928,0.832659561,0.834606268,0.842407975,0.834138372,0.899659418,0.5597254,0.539546126,0.702519155,0.846642574,0.568883312,0.665750916,0.771852231,0.960206048,0.872360722,0.842449036,0.88623897,0.857107923,0.77341071,0.862891207,0.631578947,0.879580159,0.880075826,0.783356196,0.714274019,0.843645326,0.865216547,0.641970417,0.638470223,0.81596325,0.853505469,0.542999616,0.580714225,0.779221976,0.90342388,0.833466206,0.834515928,0.832659561,0.834606268,0.842407975,0.834138372,0.899659418,0.5597254,0.539546126,0.702519155,0.846642574,0.568883312,0.665750916,0.771852231,0.960206048
66,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.030220006,0,0.030220006,0.879801577,0.847851994,0.888087288,0.856944897,0.779364661,0.868753105,0.631920509,0.87783944,0.888356779,0.796707819,0.704777109,0.84415092,0.864536803,0.640517697,0.622410387,0.811178103,0.85467097,0.532719601,0.614712683,0.783554572,0.905326036,0.841261405,0.832764302,0.839336028,0.840312527,0.850306748,0.836979685,0.905318313,0.560640732,0.562016024,0.704666821,0.84897412,0.579924718,0.668248418,0.7754392,0.959262318,0.879801577,0.847851994,0.888087288,0.856944897,0.779364661,0.868753105,0.631920509,0.87783944,0.888356779,0.796707819,0.704777109,0.84415092,0.864536803,0.640517697,0.622410387,0.811178103,0.85467097,0.532719601,0.614712683,0.783554572,0.905326036,0.841261405,0.832764302,0.839336028,0.840312527,0.850306748,0.836979685,0.905318313,0.560640732,0.562016024,0.704666821,0.84897412,0.579924718,0.668248418,0.7754392,0.959262318
23,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.029388197,0,0.029388197,0.868799288,0.848636942,0.884331028,0.854988588,0.778045747,0.867759563,0.632386275,0.879097584,0.880375137,0.785002286,0.714110279,0.840169374,0.863177316,0.630480718,0.642703923,0.815484735,0.855208894,0.529344074,0.604007879,0.780420354,0.900720817,0.834972097,0.835050322,0.838172241,0.833026073,0.848542945,0.836411422,0.899030652,0.558352403,0.554899065,0.695147434,0.847575192,0.569301547,0.660922411,0.772548665,0.960599269,0.868799288,0.848636942,0.884331028,0.854988588,0.778045747,0.867759563,0.632386275,0.879097584,0.880375137,0.785002286,0.714110279,0.840169374,0.863177316,0.630480718,0.642703923,0.815484735,0.855208894,0.529344074,0.604007879,0.780420354,0.900720817,0.834972097,0.835050322,0.838172241,0.833026073,0.848542945,0.836411422,0.899030652,0.558352403,0.554899065,0.695147434,0.847575192,0.569301547,0.660922411,0.772548665,0.960599269
17,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.04357129,0,0.04357129,0.87242432,0.843222524,0.882840448,0.85474405,0.774503523,0.864878291,0.632789939,0.882475613,0.880275367,0.778966621,0.723361578,0.843266132,0.864342591,0.64322504,0.659864522,0.815484735,0.854133046,0.51215957,0.611544061,0.779590708,0.902923313,0.838190569,0.835733159,0.836150925,0.832762707,0.844785276,0.836056258,0.899921404,0.555148741,0.545902153,0.703447876,0.843086967,0.574236721,0.660755911,0.773035137,0.958947741,0.87242432,0.843222524,0.882840448,0.85474405,0.774503523,0.864878291,0.632789939,0.882475613,0.880275367,0.778966621,0.723361578,0.843266132,0.864342591,0.64322504,0.659864522,0.815484735,0.854133046,0.51215957,0.611544061,0.779590708,0.902923313,0.838190569,0.835733159,0.836150925,0.832762707,0.844785276,0.836056258,0.899921404,0.555148741,0.545902153,0.703447876,0.843086967,0.574236721,0.660755911,0.773035137,0.958947741
