seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.064857639,0,0.064857639,0.873441872,0.841434907,0.887789172,0.854173459,0.770509101,0.864083458,0.639062257,0.876908759,0.880075826,0.788568816,0.709157149,0.848638059,0.862885997,0.63939514,0.699689529,0.808689827,0.854402008,0.538856924,0.598527019,0.772861357,0.906861109,0.833170933,0.834248731,0.834558373,0.8420683,0.843634969,0.8257565,0.902750851,0.547826087,0.509243096,0.709774785,0.850547913,0.577164366,0.666250416,0.773323737,0.960402658,0.873441872,0.841434907,0.887789172,0.854173459,0.770509101,0.864083458,0.639062257,0.876908759,0.880075826,0.788568816,0.709157149,0.848638059,0.862885997,0.63939514,0.699689529,0.808689827,0.854402008,0.538856924,0.598527019,0.772861357,0.906861109,0.833170933,0.834248731,0.834558373,0.8420683,0.843634969,0.8257565,0.902750851,0.547826087,0.509243096,0.709774785,0.850547913,0.577164366,0.666250416,0.773323737,0.960402658
42,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.071863264,0,0.071863264,0.866827779,0.838524299,0.886477462,0.852380176,0.765158081,0.86010929,0.627014439,0.878477129,0.880275367,0.776040238,0.715993287,0.83972698,0.861040979,0.637810354,0.675105843,0.810795291,0.853595123,0.544457231,0.596471696,0.761983776,0.903090169,0.828298934,0.834456551,0.82953571,0.82758318,0.835276074,0.827816451,0.898611475,0.549199085,0.525312206,0.70234502,0.84209606,0.56754496,0.667082917,0.769603341,0.959930793,0.866827779,0.838524299,0.886477462,0.852380176,0.765158081,0.86010929,0.627014439,0.878477129,0.880275367,0.776040238,0.715993287,0.83972698,0.861040979,0.637810354,0.675105843,0.810795291,0.853595123,0.544457231,0.596471696,0.761983776,0.903090169,0.828298934,0.834456551,0.82953571,0.82758318,0.835276074,0.827816451,0.898611475,0.549199085,0.525312206,0.70234502,0.84209606,0.56754496,0.667082917,0.769603341,0.959930793
66,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.026691591,0,0.026691591,0.875922157,0.845267971,0.885463868,0.856048256,0.778987828,0.854148038,0.646079801,0.87680535,0.881572384,0.790214906,0.723729993,0.850913228,0.868421053,0.642630745,0.657804121,0.814049191,0.856374395,0.525968546,0.595872227,0.774612832,0.903390509,0.835592169,0.832556482,0.837804729,0.842595031,0.840567485,0.83207842,0.903012837,0.547826087,0.540530863,0.713141398,0.849906738,0.574069427,0.667499167,0.774160536,0.958751131,0.875922157,0.845267971,0.885463868,0.856048256,0.778987828,0.854148038,0.646079801,0.87680535,0.881572384,0.790214906,0.723729993,0.850913228,0.868421053,0.642630745,0.657804121,0.814049191,0.856374395,0.525968546,0.595872227,0.774612832,0.903390509,0.835592169,0.832556482,0.837804729,0.842595031,0.840567485,0.83207842,0.903012837,0.547826087,0.540530863,0.713141398,0.849906738,0.574069427,0.667499167,0.774160536,0.958751131
23,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.033868432,0,0.033868432,0.870325617,0.845720605,0.887133317,0.853358331,0.769868486,0.865375062,0.652010557,0.878856296,0.876883169,0.778509374,0.733431577,0.843076534,0.860167023,0.629094031,0.698955687,0.81529333,0.855208894,0.540237821,0.595101482,0.772492625,0.902689715,0.833584315,0.835169076,0.835048389,0.831006935,0.841334356,0.836127291,0.900497773,0.547826087,0.538113782,0.713431623,0.843145255,0.568130489,0.661255411,0.773778245,0.960284692,0.870325617,0.845720605,0.887133317,0.853358331,0.769868486,0.865375062,0.652010557,0.878856296,0.876883169,0.778509374,0.733431577,0.843076534,0.860167023,0.629094031,0.698955687,0.81529333,0.855208894,0.540237821,0.595101482,0.772492625,0.902689715,0.833584315,0.835169076,0.835048389,0.831006935,0.841334356,0.836127291,0.900497773,0.547826087,0.538113782,0.713431623,0.843145255,0.568130489,0.661255411,0.773778245,0.960284692
17,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.050493877,0,0.050493877,0.866827779,0.835934546,0.888146912,0.851320509,0.773938275,0.865971187,0.640552709,0.875478267,0.877581562,0.788020119,0.719022473,0.844024521,0.861040979,0.646130481,0.671860006,0.807924203,0.850367581,0.507786728,0.603750963,0.767146018,0.901721952,0.833082352,0.834367485,0.830883254,0.829338952,0.835429448,0.832007387,0.898297092,0.560640732,0.536726198,0.701938704,0.8403474,0.567294019,0.665168165,0.770884381,0.959773505,0.866827779,0.835934546,0.888146912,0.851320509,0.773938275,0.865971187,0.640552709,0.875478267,0.877581562,0.788020119,0.719022473,0.844024521,0.861040979,0.646130481,0.671860006,0.807924203,0.850367581,0.507786728,0.603750963,0.767146018,0.901721952,0.833082352,0.834367485,0.830883254,0.829338952,0.835429448,0.832007387,0.898297092,0.560640732,0.536726198,0.701938704,0.8403474,0.567294019,0.665168165,0.770884381,0.959773505
31,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.062411975,0,0.062411975,0.871215976,0.848224415,0.885225376,0.857515487,0.774993405,0.863487332,0.63943487,0.880217848,0.880375137,0.781710105,0.721028286,0.84042217,0.865993397,0.652337559,0.658312165,0.808211312,0.855298548,0.538856924,0.618223859,0.78189528,0.905859975,0.839164969,0.835555028,0.835477153,0.83636204,0.850306748,0.833783208,0.901650511,0.562929062,0.516360056,0.699384723,0.850606202,0.56838143,0.668997669,0.774347007,0.96044198,0.871215976,0.848224415,0.885225376,0.857515487,0.774993405,0.863487332,0.63943487,0.880217848,0.880375137,0.781710105,0.721028286,0.84042217,0.865993397,0.652337559,0.658312165,0.808211312,0.855298548,0.538856924,0.618223859,0.78189528,0.905859975,0.839164969,0.835555028,0.835477153,0.83636204,0.850306748,0.833783208,0.901650511,0.562929062,0.516360056,0.699384723,0.850606202,0.56838143,0.668997669,0.774347007,0.96044198
42,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.05244394,0,0.05244394,0.870643602,0.841824516,0.887491057,0.856700359,0.778234164,0.863686041,0.625865549,0.880166144,0.880075826,0.785916781,0.713414385,0.842823738,0.865896291,0.634442684,0.648038386,0.8143363,0.853774431,0.544764097,0.585167423,0.787610619,0.904525128,0.835208315,0.833803402,0.834864633,0.835220788,0.841257669,0.826182696,0.901074142,0.567963387,0.512734434,0.703331785,0.85025647,0.574738603,0.666333666,0.772010809,0.959694861,0.870643602,0.841824516,0.887491057,0.856700359,0.778234164,0.863686041,0.625865549,0.880166144,0.880075826,0.785916781,0.713414385,0.842823738,0.865896291,0.634442684,0.648038386,0.8143363,0.853774431,0.544764097,0.585167423,0.787610619,0.904525128,0.835208315,0.833803402,0.834864633,0.835220788,0.841257669,0.826182696,0.901074142,0.567963387,0.512734434,0.703331785,0.85025647,0.574738603,0.666333666,0.772010809,0.959694861
66,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.033446345,0,0.033446345,0.876621725,0.846717545,0.887014071,0.855559178,0.781512605,0.864679583,0.640149045,0.877529213,0.882969171,0.798079561,0.721437636,0.849333249,0.863662847,0.653988378,0.655574372,0.810316777,0.855208894,0.537629459,0.611800976,0.784015487,0.904525128,0.837659078,0.833358074,0.837927233,0.838732333,0.847622699,0.831865322,0.903903589,0.566590389,0.555749519,0.711225911,0.850664491,0.580259306,0.662504163,0.776952559,0.958947741,0.876621725,0.846717545,0.887014071,0.855559178,0.781512605,0.864679583,0.640149045,0.877529213,0.882969171,0.798079561,0.721437636,0.849333249,0.863662847,0.653988378,0.655574372,0.810316777,0.855208894,0.537629459,0.611800976,0.784015487,0.904525128,0.837659078,0.833358074,0.837927233,0.838732333,0.847622699,0.831865322,0.903903589,0.566590389,0.555749519,0.711225911,0.850664491,0.580259306,0.662504163,0.776952559,0.958947741
23,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.024500944,0,0.024500944,0.869498855,0.844374162,0.885583115,0.854336485,0.774503523,0.870044709,0.635429281,0.877443039,0.882071236,0.77914952,0.71742601,0.842128547,0.861720722,0.638140518,0.649731866,0.814432003,0.855298548,0.53118527,0.616596729,0.776364307,0.901154642,0.837275224,0.834189354,0.836640941,0.829777895,0.842407975,0.83435147,0.902646057,0.563386728,0.525267446,0.708671929,0.843728142,0.569468841,0.657925408,0.772422073,0.96044198,0.869498855,0.844374162,0.885583115,0.854336485,0.774503523,0.870044709,0.635429281,0.877443039,0.882071236,0.77914952,0.71742601,0.842128547,0.861720722,0.638140518,0.649731866,0.814432003,0.855298548,0.53118527,0.616596729,0.776364307,0.901154642,0.837275224,0.834189354,0.836640941,0.829777895,0.842407975,0.83435147,0.902646057,0.563386728,0.525267446,0.708671929,0.843728142,0.569468841,0.657925408,0.772422073,0.96044198
17,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.046356026,0,0.046356026,0.874077843,0.845262241,0.886358216,0.854336485,0.781512605,0.866666667,0.645427729,0.880166144,0.884066647,0.781344307,0.7129641,0.839474183,0.866284715,0.646658743,0.646457804,0.808881233,0.854491662,0.513617185,0.600239788,0.776640855,0.903457252,0.836979951,0.831636137,0.837804729,0.83135809,0.845782209,0.836340389,0.900340582,0.546910755,0.544738373,0.701590434,0.845360224,0.572396487,0.656260406,0.772231917,0.959852149,0.874077843,0.845262241,0.886358216,0.854336485,0.781512605,0.866666667,0.645427729,0.880166144,0.884066647,0.781344307,0.7129641,0.839474183,0.866284715,0.646658743,0.646457804,0.808881233,0.854491662,0.513617185,0.600239788,0.776640855,0.903457252,0.836979951,0.831636137,0.837804729,0.83135809,0.845782209,0.836340389,0.900340582,0.546910755,0.544738373,0.701590434,0.845360224,0.572396487,0.656260406,0.772231917,0.959852149
