seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_de_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_de_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,2170,0,0,0,0.07555807381868362,0,0.07555807381868362,0.9486048175530646,0.7943454838582832,0.8714751507056739,0.9486048175530646,0.9486048175530646,0.7943454838582832,0.8714751507056739,0.9486048175530646
42,distilbert-base-multilingual-cased,udpos,baseline,2170,0,0,0,0.07008475810289383,0,0.07008475810289383,0.9485451943715717,0.8001651527663088,0.8743551735689403,0.9485451943715717,0.9485451943715717,0.8001651527663088,0.8743551735689403,0.9485451943715717
66,distilbert-base-multilingual-cased,udpos,baseline,2170,0,0,0,0.05012834072113037,0,0.05012834072113037,0.9499165275459098,0.7992607447603319,0.8745886361531209,0.9499165275459098,0.9499165275459098,0.7992607447603319,0.8745886361531209,0.9499165275459098
23,distilbert-base-multilingual-cased,udpos,baseline,2170,0,0,0,0.06925365328788757,0,0.06925365328788757,0.9487836870975436,0.8033895639180527,0.8760866255077981,0.9487836870975436,0.9487836870975436,0.8033895639180527,0.8760866255077981,0.9487836870975436
17,distilbert-base-multilingual-cased,udpos,baseline,2170,0,0,0,0.06264766305685043,0,0.06264766305685043,0.9512878607202481,0.8176634815776022,0.8844756711489251,0.9512878607202481,0.9512878607202481,0.8176634815776022,0.8844756711489251,0.9512878607202481
