seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_sl_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_sl_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,1020,0,0,0,0.08836337178945541,0,0.08836337178945541,0.9773405313254724,0.5943533482757265,0.7858469398005994,0.9773405313254724,0.9773405313254724,0.5943533482757265,0.7858469398005994,0.9773405313254724
42,distilbert-base-multilingual-cased,udpos,baseline,1020,0,0,0,0.04746534675359726,0,0.04746534675359726,0.9779798266799261,0.6554598718099957,0.8167198492449609,0.9779798266799261,0.9779798266799261,0.6554598718099957,0.8167198492449609,0.9779798266799261
66,distilbert-base-multilingual-cased,udpos,baseline,1020,0,0,0,0.05198841914534569,0,0.05198841914534569,0.9786901548515414,0.618143211041642,0.7984166829465917,0.9786901548515414,0.9786901548515414,0.618143211041642,0.7984166829465917,0.9786901548515414
23,distilbert-base-multilingual-cased,udpos,baseline,1020,0,0,0,0.049651775509119034,0,0.049651775509119034,0.9788322204858645,0.6032401399866305,0.7910361802362476,0.9788322204858645,0.9788322204858645,0.6032401399866305,0.7910361802362476,0.9788322204858645
17,distilbert-base-multilingual-cased,udpos,baseline,1020,0,0,0,0.07515977323055267,0,0.07515977323055267,0.9772694985083108,0.6177106680822618,0.7974900832952863,0.9772694985083108,0.9772694985083108,0.6177106680822618,0.7974900832952863,0.9772694985083108
