seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_no_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_no_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,2460,0,0,0,0.039459228515625,0,0.039459228515625,0.9785089768404192,0.4239314222798946,0.7012201995601569,0.9785089768404192,0.9785089768404192,0.4239314222798946,0.7012201995601569,0.9785089768404192
42,distilbert-base-multilingual-cased,udpos,baseline,2460,0,0,0,0.027276379987597466,0,0.027276379987597466,0.9778415537609291,0.45015925445322635,0.7140004041070778,0.9778415537609291,0.9778415537609291,0.45015925445322635,0.7140004041070778,0.9778415537609291
66,distilbert-base-multilingual-cased,udpos,baseline,2460,0,0,0,0.04568934440612793,0,0.04568934440612793,0.9784756056864446,0.3878730683024655,0.6831743369944551,0.9784756056864446,0.9784756056864446,0.3878730683024655,0.6831743369944551,0.9784756056864446
23,distilbert-base-multilingual-cased,udpos,baseline,2460,0,0,0,0.028516607359051704,0,0.028516607359051704,0.9780084095308016,0.41119106602178446,0.694599737776293,0.9780084095308016,0.9780084095308016,0.41119106602178446,0.694599737776293,0.9780084095308016
17,distilbert-base-multilingual-cased,udpos,baseline,2460,0,0,0,0.04219745844602585,0,0.04219745844602585,0.9780751518387506,0.389642562227203,0.6838588570329768,0.9780751518387506,0.9780751518387506,0.389642562227203,0.6838588570329768,0.9780751518387506
