seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_da_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_da_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,695,0,0,0,0.1095823124051094,0,0.1095823124051094,0.9623865110246433,0.7603318784161063,0.8613591947203748,0.9623865110246433,0.9623865110246433,0.7603318784161063,0.8613591947203748,0.9623865110246433
42,distilbert-base-multilingual-cased,udpos,baseline,695,0,0,0,0.12627330422401428,0,0.12627330422401428,0.963084904719146,0.7761786795643113,0.8696317921417287,0.963084904719146,0.963084904719146,0.7761786795643113,0.8696317921417287,0.963084904719146
66,distilbert-base-multilingual-cased,udpos,baseline,695,0,0,0,0.07699723541736603,0,0.07699723541736603,0.9634839868302904,0.7510911879202548,0.8572875873752726,0.9634839868302904,0.9634839868302904,0.7510911879202548,0.8572875873752726,0.9634839868302904
23,distilbert-base-multilingual-cased,udpos,baseline,695,0,0,0,0.07299187779426575,0,0.07299187779426575,0.9643819215803652,0.7637529000039323,0.8640674107921487,0.9643819215803652,0.9643819215803652,0.7637529000039323,0.8640674107921487,0.9643819215803652
17,distilbert-base-multilingual-cased,udpos,baseline,695,0,0,0,0.08567770570516586,0,0.08567770570516586,0.9647810036915095,0.7725217254531871,0.8686513645723484,0.9647810036915095,0.9647810036915095,0.7725217254531871,0.8686513645723484,0.9647810036915095
