seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_hi_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_hi_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,2110,0,0,0,0.0904947966337204,0,0.0904947966337204,0.9649449618966978,0.6139750697967048,0.7894600158467013,0.9649449618966978,0.9649449618966978,0.6139750697967048,0.7894600158467013,0.9649449618966978
42,distilbert-base-multilingual-cased,udpos,baseline,2110,0,0,0,0.0710642859339714,0,0.0710642859339714,0.9650578605701383,0.6179466006055602,0.7915022305878492,0.9650578605701383,0.9650578605701383,0.6179466006055602,0.7915022305878492,0.9650578605701383
66,distilbert-base-multilingual-cased,udpos,baseline,2110,0,0,0,0.1311795860528946,0,0.1311795860528946,0.965198983911939,0.6220754197632811,0.7936372018376101,0.965198983911939,0.965198983911939,0.6220754197632811,0.7936372018376101,0.965198983911939
23,distilbert-base-multilingual-cased,udpos,baseline,2110,0,0,0,0.08653179556131363,0,0.08653179556131363,0.9651707592435789,0.6413825645865282,0.8032766619150535,0.9651707592435789,0.9651707592435789,0.6413825645865282,0.8032766619150535,0.9651707592435789
17,distilbert-base-multilingual-cased,udpos,baseline,2110,0,0,0,0.09189879894256592,0,0.09189879894256592,0.9643522438611346,0.6148401557154654,0.7895961997883,0.9643522438611346,0.9643522438611346,0.6148401557154654,0.7895961997883,0.9643522438611346
