seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_fa_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_fa_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,4120,0,0,0,0.05200057104229927,0,0.05200057104229927,0.9696262638667158,0.6921080570956707,0.8308671604811932,0.9696262638667158,0.9696262638667158,0.6921080570956707,0.8308671604811932,0.9696262638667158
42,distilbert-base-multilingual-cased,udpos,baseline,4120,0,0,0,0.05859320983290672,0,0.05859320983290672,0.9691350444144254,0.7003656954111124,0.834750369912769,0.9691350444144254,0.9691350444144254,0.7003656954111124,0.834750369912769,0.9691350444144254
66,distilbert-base-multilingual-cased,udpos,baseline,4120,0,0,0,0.09043099731206894,0,0.09043099731206894,0.9690941094600679,0.6798395658841572,0.8244668376721125,0.9690941094600679,0.9690941094600679,0.6798395658841572,0.8244668376721125,0.9690941094600679
23,distilbert-base-multilingual-cased,udpos,baseline,4120,0,0,0,0.058613598346710205,0,0.058613598346710205,0.9699946784559336,0.6980456922653454,0.8340201853606395,0.9699946784559336,0.9699946784559336,0.6980456922653454,0.8340201853606395,0.9699946784559336
17,distilbert-base-multilingual-cased,udpos,baseline,4120,0,0,0,0.08832743763923645,0,0.08832743763923645,0.9699128085472185,0.6715032833942826,0.8207080459707505,0.9699128085472185,0.9699128085472185,0.6715032833942826,0.8207080459707505,0.9699128085472185
