seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_lt_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_lt_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,395,0,0,0,0.14968110620975494,0,0.14968110620975494,0.9027470501474927,0.5390664936494829,0.7209067718984878,0.9027470501474927,0.9027470501474927,0.5390664936494829,0.7209067718984878,0.9027470501474927
42,distilbert-base-multilingual-cased,udpos,baseline,395,0,0,0,0.19029143452644348,0,0.19029143452644348,0.9014564896755162,0.5629743226770477,0.732215406176282,0.9014564896755162,0.9014564896755162,0.5629743226770477,0.732215406176282,0.9014564896755162
66,distilbert-base-multilingual-cased,udpos,baseline,395,0,0,0,0.1631353348493576,0,0.1631353348493576,0.9045907079646017,0.45810231607093704,0.6813465120177694,0.9045907079646017,0.9045907079646017,0.45810231607093704,0.6813465120177694,0.9045907079646017
23,distilbert-base-multilingual-cased,udpos,baseline,395,0,0,0,0.16164681315422058,0,0.16164681315422058,0.9056047197640118,0.5073335692658566,0.7064691445149343,0.9056047197640118,0.9056047197640118,0.5073335692658566,0.7064691445149343,0.9056047197640118
17,distilbert-base-multilingual-cased,udpos,baseline,395,0,0,0,0.22045782208442688,0,0.22045782208442688,0.9015486725663717,0.5645865282529197,0.7330676004096457,0.9015486725663717,0.9015486725663717,0.5645865282529197,0.7330676004096457,0.9015486725663717
