seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_hu_accuracy,eval_en_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_hu_accuracy,final_eval_en_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,baseline,150,0,0,0,0.4088999032974243,0,0.4088999032974243,0.9049669824863623,0.4999803389563918,0.7024736607213771,0.9049669824863623,0.9049669824863623,0.4999803389563918,0.7024736607213771,0.9049669824863623
42,distilbert-base-multilingual-cased,udpos,baseline,150,0,0,0,0.42130059003829956,0,0.42130059003829956,0.9081251794430089,0.5299437694152805,0.7190344744291447,0.9081251794430089,0.9081251794430089,0.5299437694152805,0.7190344744291447,0.9081251794430089
66,distilbert-base-multilingual-cased,udpos,baseline,150,0,0,0,0.33078405261039734,0,0.33078405261039734,0.9070724471241267,0.49710982658959535,0.702091136856861,0.9070724471241267,0.9070724471241267,0.49710982658959535,0.702091136856861,0.9070724471241267
23,distilbert-base-multilingual-cased,udpos,baseline,150,0,0,0,0.33141764998435974,0,0.33141764998435974,0.9057326059910039,0.47890370020840706,0.6923181530997055,0.9057326059910039,0.9057326059910039,0.47890370020840706,0.6923181530997055,0.9057326059910039
17,distilbert-base-multilingual-cased,udpos,baseline,150,0,0,0,0.4024660289287567,0,0.4024660289287567,0.9088908029476505,0.47064606189296526,0.6897684324203078,0.9088908029476505,0.9088908029476505,0.47064606189296526,0.6897684324203078,0.9088908029476505
